"exped","ubic","numextubi","numintubi","colubi"
"1016009","RIO SAN LORENZO OTE","226","","DEL VALLE"
"1016011","RIO SAN LORENZO 258","","","DEL VALLE"
"1016012","RIO PANUCO OTE","223","","DEL VALLE"
"1016014","RIO PANUCO OTE","225","","DEL VALLE"
"1016016","RIO SAN LORENZO OTE","260","","DEL VALLE"
"1016017","RIO PANUCO OTE","227","","DEL VALLE"
"1016019","RIO PANUCO OTE","229","","DEL VALLE"
"1016020","RIO SAN LORENZO 288","","",""
"1016021","RIO PANUCO OTE","231","","DEL VALLE"
"1016022","RIO SAN LORENZO 292","","",""
"1016023","RIO SAN LORENZO OTE 298","","","DEL VALLE"
"1016032","RIO PANUCO","205","","DEL VALLE"
"1016033","RIO PANUCO","L33 M16","","DEL VALLE"
"1016035","RIO SAN LORENZO OTE 222","","","DEL VALLE"
"1016036","RIO PANUCO OTE 203","","","DEL VALLE"
"1016038","RIO SAN LORENZO","234","","DEL VALLE"
"1016039","RIO SAN LORENZO","236","","DEL VALLE"
"1016042","RIO SAN LORENZO OTE","228","","DEL VALLE"
"1016101","RIO PANUCO 217 D 1","","","DEL VALLE"
"1016102","RIO PANUCO","219","DPTO 2","DEL VALLE"
"1016103","RIO PANUCO","217","DPTO 3","DEL VALLE"
"1016104","RIO PANUCO","219","DPTO 4","DEL VALLE"
"1017001","RIO PANUCO","L1 M17","","DEL VALLE"
"1017002","RIO SAN LORENZO","300","","DEL VALLE"
"1017003","RIO PANUCO OTE 305","","","VALLE"
"1017004","R SAN LORENZO OTE","302","","DEL VALLE"
"1017005","RIO PANUCO 307","","","DEL VALLE"
"1017006","R SAN LORENZO OTE 304","","",""
"1017007","RIO PANUCO","315","","DEL VALLE"
"1017008","RIO PANUCO","313","","DEL VALLE"
"1017009","RIO PANUCO 325 DEL VALLE","","",""
"1017010","RIO PANUCO OTE 327 VALLE","","",""
"1017011","RIO SAN LORENZO","L16 M38","","VALLE"
"1017012","RIO SAN LORENZO","340","","DEL VALLE"
"1017013","RIO PANUCO OTE","329","","DEL VALLE"
"1017014","RIO PANUCO OTE 333","","","DEL VALLE"
"1017015","RIO SAN LORENZO","350","",""
"1017016","RIO SAN LORENZO","360","",""
"1017017","RIO SAN LORENZO","380","",""
"1017023","RIO PANUCO OTE","309","","DEL VALLE"
"1017025","RIO SAN LORENZO","320","","DEL VALLE"
"1017029","RIO SAN LORENZO","310","","VALLE"
"1017031","RIO SAN LORENZO","314","","DEL VALLE"
"1017032","PANUCO","345","","DEL VALLE"
"1017101","SAN LORENZO 312 D-1","","","DEL VALLE"
"1017102","SAN LORENZO 312-A D-2","","","DEL VALLE"
"1018001","RIO PANUCO","405","","DEL VALLE"
"1018002","RIO ROSAS 900","","",""
"1018003","RIO PANUCO OTE","407","","DEL VALLE"
"1018004","RIO SAN LORENZO","402","","DEL VALLE"
"1018005","RIO SAN LORENZO OTE 404 DEL VALLE","","",""
"1018006","RIO PANUCO","411","","DEL VALLE"
"1018009","RIO PANUCO OTE","413","","DEL VALLE"
"1018010","RIO SAN LORENZO","410","","DEL VALLE"
"1018011","RIO PANUCO OTE","L11 M18","","DEL VALLE"
"1018012","RIO SAN LORENZO","412","","DEL VALLE"
"1018014","RIO SAN LORENZO","420","","DEL VALLE"
"1018017","RIO PANUCO","447","","DEL VALLE"
"1018018","RIO SAN LORENZO 440","","","DEL VALLE"
